gender,PlaceofBirth,StageID,GradeID,Topic,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,StudentAbsenceDays,ParentschoolSatisfaction,ParentAnsweringSurvey
M,Tunis,lowerlevel,G-02,French,Mum,80,92,83,43,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,30,12,29,23,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-02,French,Father,40,62,83,33,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Good,No
M,Iran,lowerlevel,G-02,French,Mum,20,22,53,13,Above-7,Good,No
M,Syria,lowerlevel,G-02,French,Mum,20,52,23,33,Above-7,Good,Yes
F,Jordan,lowerlevel,G-02,French,Father,50,62,73,43,Above-7,Bad,Yes
M,Iran,lowerlevel,G-02,French,Father,10,2,13,53,Above-7,Bad,No
M,Tunis,lowerlevel,G-02,French,Mum,60,52,23,33,Under-7,Bad,Yes
F,USA,lowerlevel,G-02,French,Mum,15,52,83,11,Under-7,Bad,Yes
F,lebanon,lowerlevel,G-02,French,Mum,80,42,33,13,Under-7,Bad,Yes
M,lebanon,lowerlevel,G-02,French,Mum,40,51,20,33,Under-7,Bad,No
F,SaudiArabia,lowerlevel,G-02,French,Father,60,70,63,93,Under-7,Bad,Yes
M,Jordan,lowerlevel,G-02,French,Father,50,62,13,33,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,85,75,62,53,Under-7,Bad,Yes
F,lebanon,MiddleSchool,G-08,Arabic,Father,25,15,32,53,Under-7,Bad,No
M,lebanon,MiddleSchool,G-08,Arabic,Mum,10,35,30,13,Above-7,Bad,No
M,Jordan,MiddleSchool,G-08,Arabic,Mum,87,65,82,33,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,85,15,22,53,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,80,71,52,51,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,75,71,72,53,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,85,66,12,23,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,23,25,32,53,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,15,25,37,13,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,95,91,62,53,Under-7,Good,Yes
M,Morocco,MiddleSchool,G-08,Arabic,Mum,81,75,62,53,Under-7,Bad,No
M,Morocco,MiddleSchool,G-08,Arabic,Mum,53,75,72,23,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,15,43,42,33,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,92,65,62,53,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,83,75,62,53,Under-7,Bad,No
M,Morocco,MiddleSchool,G-08,Arabic,Father,27,15,42,53,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,45,95,12,13,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Arabic,Mum,15,90,52,83,Under-7,Bad,Yes
F,lebanon,MiddleSchool,G-08,Arabic,Mum,45,58,52,43,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,25,5,12,33,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-08,Arabic,Father,22,51,42,40,Under-7,Bad,Yes
M,Jordan,MiddleSchool,G-08,Arabic,Father,29,10,12,24,Above-7,Bad,No
F,SaudiArabia,MiddleSchool,G-08,Arabic,Mum,72,51,42,24,Above-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Arabic,Father,67,31,42,14,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,21,42,14,Under-7,Good,Yes
M,Tunis,MiddleSchool,G-08,Spanish,Mum,27,41,49,14,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,70,81,39,84,Under-7,Bad,No
M,SaudiArabia,MiddleSchool,G-08,Spanish,Mum,27,90,82,14,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,61,42,14,Under-7,Bad,No
M,Tunis,MiddleSchool,G-08,Spanish,Mum,87,81,42,19,Under-7,Good,Yes
M,Tunis,MiddleSchool,G-08,Spanish,Father,7,61,22,14,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,17,50,2,4,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,21,42,14,Above-7,Good,No
M,Iran,MiddleSchool,G-08,Spanish,Mum,27,41,32,61,Above-7,Bad,Yes
F,KuwaIT,MiddleSchool,G-08,Spanish,Father,87,88,40,10,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,96,61,42,94,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,57,51,46,34,Under-7,Good,Yes
M,lebanon,MiddleSchool,G-08,Spanish,Father,77,69,41,13,Under-7,Good,Yes
M,lebanon,MiddleSchool,G-08,Spanish,Father,80,51,40,24,Under-7,Good,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,62,61,82,40,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,72,83,12,90,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,87,81,22,70,Under-7,Bad,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Mum,72,90,12,30,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,2,11,62,30,Under-7,Bad,No
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,3,2,10,Under-7,Good,Yes
M,KuwaIT,HighSchool,G-11,Math,Mum,73,84,77,81,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-08,Spanish,Father,5,17,21,10,Above-7,Bad,No
M,Iran,MiddleSchool,G-08,Spanish,Mum,51,42,12,29,Above-7,Bad,No
M,Jordan,MiddleSchool,G-08,Spanish,Father,9,7,21,20,Above-7,Good,Yes
M,Syria,MiddleSchool,G-07,Quran,Father,19,72,15,50,Above-7,Good,Yes
F,Jordan,MiddleSchool,G-07,Science,Mum,32,80,58,46,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Mum,32,60,58,66,Above-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Father,12,8,18,26,Above-7,Bad,No
M,Jordan,MiddleSchool,G-07,Science,Father,52,10,13,6,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Science,Father,72,80,58,66,Above-7,Good,Yes
F,KuwaIT,MiddleSchool,G-07,Science,Mum,72,80,58,66,Above-7,Good,Yes
M,Egypt,MiddleSchool,G-07,Science,Mum,92,80,88,76,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Mum,72,80,98,96,Under-7,Bad,Yes
M,Egypt,MiddleSchool,G-07,Science,Father,72,80,58,86,Under-7,Good,Yes
M,KuwaIT,MiddleSchool,G-07,Science,Father,22,20,18,6,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,Science,Father,12,20,38,46,Above-7,Bad,No
M,KuwaIT,MiddleSchool,G-07,IT,Mum,70,92,83,85,Under-7,Bad,Yes
F,KuwaIT,MiddleSchool,G-06,IT,Father,50,40,52,66,Under-7,Bad,Yes
F,KuwaIT,MiddleSchool,G-06,Science,Father,80,94,62,77,Under-7,Good,Yes
F,KuwaIT,MiddleSchool,G-06,Math,Father,87,48,82,96,Above-7,Bad,No
F,KuwaIT,MiddleSchool,G-06,Quran,Father,70,40,2,16,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,IT,Father,65,86,62,40,Above-7,Good,No
M,KuwaIT,lowerlevel,G-04,Math,Father,15,6,32,40,Under-7,Good,Yes
M,Egypt,lowerlevel,G-04,English,Mum,19,74,32,17,Above-7,Good,No
F,KuwaIT,lowerlevel,G-04,Science,Father,69,76,82,94,Under-7,Bad,No
M,KuwaIT,lowerlevel,G-04,Arabic,Father,39,26,12,44,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,English,Father,59,97,42,70,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-04,History,Father,10,17,12,40,Under-7,Good,Yes
F,KuwaIT,lowerlevel,G-04,History,Mum,80,87,72,60,Under-7,Good,No
F,KuwaIT,lowerlevel,G-04,History,Father,70,99,66,65,Under-7,Good,No
F,KuwaIT,lowerlevel,G-04,History,Father,80,97,86,95,Under-7,Good,Yes
M,KuwaIT,lowerlevel,G-04,English,Mum,69,34,12,17,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,History,Father,10,17,12,14,Above-7,Bad,No
M,KuwaIT,lowerlevel,G-04,History,Father,61,97,82,64,Above-7,Bad,Yes
F,KuwaIT,lowerlevel,G-04,History,Mum,21,27,52,34,Above-7,Good,Yes
M,Egypt,lowerlevel,G-04,Math,Mum,49,94,42,7,Above-7,Bad,No
F,Jordan,MiddleSchool,G-06,English,Mum,70,64,42,32,Under-7,Bad,No
F,Jordan,MiddleSchool,G-06,English,Mum,79,84,82,37,Under-7,Bad,No
M,Jordan,MiddleSchool,G-06,English,Father,19,80,12,17,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Father,11,70,32,29,Above-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Father,10,8,10,10,Above-7,Bad,Yes
M,Jordan,MiddleSchool,G-06,English,Father,18,28,40,20,Above-7,Bad,Yes
F,Jordan,MiddleSchool,G-06,English,Mum,90,84,52,30,Under-7,Good,No
F,Jordan,MiddleSchool,G-06,English,Mum,92,81,32,36,Under-7,Good,No
M,Jordan,MiddleSchool,G-06,English,Father,42,21,2,16,Under-7,Bad,No
M,Jordan,MiddleSchool,G-06,English,Father,22,20,6,26,Under-7,Bad,No
F,lebanon,MiddleSchool,G-06,English,Mum,95,82,82,70,Under-7,Good,Yes
F,lebanon,MiddleSchool,G-06,English,Mum,90,62,80,60,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Mum,72,21,22,26,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Mum,92,31,42,27,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Mum,82,31,52,25,Under-7,Good,No
M,Jordan,MiddleSchool,G-06,English,Mum,72,41,46,27,Under-7,Good,No
M,Iraq,MiddleSchool,G-06,English,Mum,74,71,56,37,Under-7,Good,No
M,Iraq,MiddleSchool,G-06,English,Mum,74,60,56,37,Under-7,Good,No
F,Jordan,MiddleSchool,G-06,English,Mum,95,94,72,80,Under-7,Good,No
F,Jordan,MiddleSchool,G-06,English,Mum,97,87,82,86,Under-7,Good,No
M,Jordan,MiddleSchool,G-06,English,Father,40,38,32,36,Above-7,Bad,No
M,Jordan,MiddleSchool,G-06,English,Father,41,39,35,39,Above-7,Bad,Yes
F,Jordan,MiddleSchool,G-06,English,Mum,51,79,85,89,Under-7,Good,Yes
F,Jordan,MiddleSchool,G-06,English,Mum,81,79,91,85,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Mum,71,70,65,69,Under-7,Good,Yes
M,Jordan,MiddleSchool,G-06,English,Mum,75,71,76,80,Under-7,Good,Yes
F,Jordan,lowerlevel,G-04,Science,Father,49,36,32,44,Above-7,Bad,No
F,Jordan,lowerlevel,G-04,Science,Father,42,24,12,24,Above-7,Bad,No
F,Palestine,lowerlevel,G-04,Science,Mum,90,86,82,74,Under-7,Good,Yes
F,Palestine,lowerlevel,G-04,Science,Mum,62,64,72,84,Under-7,Good,Yes
M,Iraq,lowerlevel,G-04,Science,Father,90,86,82,74,Above-7,Good,Yes
M,Iraq,lowerlevel,G-04,Science,Father,62,64,72,84,Above-7,Good,Yes
F,Jordan,lowerlevel,G-04,Science,Mum,98,87,86,84,Under-7,Good,No
F,Jordan,lowerlevel,G-04,Science,Mum,72,74,82,89,Under-7,Good,No
M,Jordan,lowerlevel,G-04,Science,Father,18,17,26,34,Above-7,Good,No
M,Jordan,lowerlevel,G-04,Science,Father,32,14,32,29,Above-7,Good,No
M,Jordan,lowerlevel,G-04,Science,Father,10,12,20,13,Above-7,Bad,No
M,Jordan,lowerlevel,G-04,Science,Father,22,34,15,9,Above-7,Bad,No
